,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,ZipCode,Municipality,CAMIONES,FURGONETAS,AUTOBUSES,TURISMOS,MOTOCICLETAS,"TRACTORES
INDUSTRIALES","REMOLQUES y
SEMIRREMOLQUES","OTROS
VEHÍCULOS",TOTAL
55,5112.0,5165.0,5197.0,5261.0,5327.0,5413.0,5422.0,5442.0,5489.0,5528.0,5553.0,15055,Neda,300.0,177.0,0.0,3224.0,294.0,37.0,133.0,64.0,4229.0
56,6877.0,6883.0,6911.0,6936.0,7009.0,7091.0,7079.0,7077.0,7029.0,6941.0,6573.0,15056,Negreira,342.0,207.0,15.0,4072.0,262.0,44.0,78.0,85.0,5105.0
57,14271.0,14295.0,14337.0,14472.0,14571.0,14659.0,14757.0,14876.0,14947.0,14970.0,14875.0,15057,Noia,746.0,491.0,30.0,7547.0,723.0,48.0,89.0,105.0,9779.0
58,35559.0,35198.0,35013.0,34693.0,34563.0,34470.0,34386.0,34133.0,33550.0,33443.0,32381.0,15058,Oleiros,1008.0,1104.0,1.0,20991.0,2496.0,82.0,166.0,182.0,26030.0
59,12632.0,12580.0,12669.0,12776.0,12844.0,12939.0,12963.0,12948.0,12868.0,12757.0,12534.0,15059,Ordes,786.0,461.0,12.0,7648.0,449.0,77.0,164.0,214.0,9811.0
60,7452.0,7452.0,7420.0,7413.0,7400.0,7431.0,7328.0,7174.0,7050.0,6987.0,6804.0,15060,Oroso,400.0,221.0,28.0,4261.0,264.0,132.0,192.0,107.0,5605.0
61,5804.0,5966.0,6093.0,6136.0,5997.0,6064.0,6550.0,6956.0,6871.0,7150.0,7311.0,15061,Ortigueira,372.0,290.0,2.0,3687.0,260.0,21.0,70.0,110.0,4812.0
62,6412.0,6514.0,6606.0,6691.0,6804.0,7010.0,7192.0,7243.0,7313.0,7425.0,7547.0,15062,Outes,381.0,268.0,0.0,4225.0,331.0,47.0,78.0,116.0,5446.0
63,,,,,,3204.0,3227.0,3229.0,3198.0,3202.0,3206.0,15063,Oza dos Ríos,,,,,,,,,
64,5155.0,5133.0,5181.0,5253.0,5275.0,,,,,,,15902,Oza-Cesuras,262.0,245.0,1.0,3298.0,260.0,53.0,66.0,123.0,4308.0
65,2419.0,2441.0,2445.0,2467.0,2502.0,2534.0,2597.0,2628.0,2653.0,2672.0,2722.0,15064,Paderne,140.0,130.0,1.0,1572.0,178.0,26.0,45.0,32.0,2124.0
66,8386.0,8463.0,8581.0,8643.0,8693.0,8707.0,8882.0,8924.0,8985.0,8968.0,9016.0,15065,Padrón,618.0,395.0,34.0,5334.0,569.0,76.0,155.0,173.0,7354.0
67,4656.0,4644.0,4653.0,4706.0,4680.0,4708.0,4732.0,4743.0,4718.0,4710.0,4782.0,15066,"Pino, O",229.0,202.0,14.0,3003.0,181.0,42.0,71.0,73.0,3815.0
68,9390.0,9440.0,9525.0,9623.0,9672.0,9646.0,9664.0,9726.0,9858.0,9878.0,9934.0,15067,"Pobra do Caramiñal, A",369.0,251.0,6.0,5112.0,433.0,27.0,45.0,75.0,6318.0
69,5565.0,5613.0,5703.0,5789.0,5893.0,5964.0,6065.0,6134.0,6215.0,6302.0,6381.0,15068,Ponteceso,334.0,210.0,12.0,3432.0,199.0,29.0,57.0,106.0,4379.0
70,7884.0,7937.0,8005.000000000001,8010.999999999999,8117.000000000001,8213.0,8324.0,8342.0,8370.0,8457.0,8561.0,15069,Pontedeume,272.0,240.0,0.0,4624.0,303.0,21.0,46.0,74.0,5580.0
71,10237.0,10324.0,10399.0,10503.0,10634.0,10564.0,10996.0,11139.0,11336.0,11431.0,11384.0,15070,"Pontes de García Rodríguez, As",688.0,504.0,20.0,7514.0,579.0,210.0,352.0,211.0,10078.0
72,9243.0,9271.0,9386.0,9436.0,9571.0,9613.0,9699.0,9847.0,9873.0,9867.0,9845.0,15071,Porto do Son,342.0,334.0,0.0,5181.0,506.0,20.0,49.0,102.0,6534.0
73,11104.0,11188.0,11295.0,11386.0,11479.0,11598.0,11729.0,11780.0,11826.0,11769.0,11578.0,15072,Rianxo,525.0,321.0,17.0,6277.0,541.0,58.0,104.0,108.0,7951.0
74,27067.0,27159.0,27249.0,27372.0,27565.0,27811.0,27778.0,27699.0,27504.0,27518.0,27430.0,15073,Ribeira,971.0,721.0,39.0,12338.0,1063.0,53.0,173.0,210.0,15568.0
75,4564.0,4627.0,4657.0,4710.0,4767.0,4818.0,4871.0,4910.0,4936.0,4995.0,5012.0,15074,Rois,275.0,183.0,9.0,2952.0,270.0,36.0,78.0,83.0,3886.0
76,15495.0,15242.0,15150.0,15080.0,15156.0,15075.0,14922.0,14870.0,14734.0,14487.0,14036.0,15075,Sada,538.0,476.0,17.0,8702.0,1006.0,98.0,159.0,140.0,11136.0
77,2828.0,2877.0,2944.0,3009.0,3019.0,3020.0,3061.0,3099.0,3098.0,3119.0,3125.0,15076,San Sadurniño,166.0,138.0,0.0,2106.0,158.0,21.0,55.0,44.0,2688.0
78,9450.0,9477.0,9556.0,9635.0,9719.0,9913.0,10101.0,10241.0,10408.0,10487.0,10577.0,15077,Santa Comba,685.0,358.0,13.0,6160.0,350.0,69.0,129.0,225.0,7989.0
79,96405.0,96456.0,95966.0,95612.0,95800.0,96041.0,95671.0,95207.0,94824.0,95092.0,94339.0,15078,Santiago de Compostela,4378.0,3698.0,177.0,51331.0,3780.0,356.0,734.0,747.0,65201.0
80,1610.0,1630.0,1672.0,1709.0,1742.0,1785.0,1838.0,1883.0,1930.0,1980.0,2035.0000000000002,15079,Santiso,102.0,93.0,5.0,1135.0,81.0,16.0,23.0,34.0,1489.0
81,1799.0,1847.0,1882.0,1911.0,1965.0,2016.0,2037.0,2087.0,2139.0,2168.0,2208.0,15080,Sobrado,108.0,120.0,6.0,1109.0,69.0,33.0,52.0,57.0,1554.0
82,1103.0,1128.0,1160.0,1191.0,1211.0,1249.0,1279.0,1306.0,1342.0,1382.0,1388.0,15081,"Somozas, As",82.0,60.0,2.0,806.0,65.0,7.0,30.0,29.0,1081.0
83,18525.0,18478.0,18510.0,18505.0,18254.0,17942.0,18454.0,18266.0,17940.0,17807.0,17625.0,15082,Teo,865.0,706.0,20.0,11806.0,1107.0,80.0,205.0,200.0,14989.0
84,1151.0,1173.0,1196.0,1213.0,1248.0,1265.0,1302.0,1343.0,1387.0,1405.0,1416.0,15083,Toques,89.0,72.0,9.0,722.0,43.0,6.0,24.0,23.0,988.0
85,3361.0,3433.0,3522.0,3591.0,3706.0,3817.0,3924.0,4168.0,4268.0,4339.0,4399.0,15084,Tordoia,213.0,135.0,0.0,2550.0,208.0,13.0,34.0,87.0,3240.0
86,3620.0,3693.0,3703.0,3778.0,3853.0,3919.0,3979.0,4082.0,4151.0,4230.0,4266.0,15085,Touro,247.0,198.0,0.0,2573.0,216.0,59.0,92.0,103.0,3488.0
87,3148.0,3186.0,3190.0,3263.0,3301.0,3343.0,3433.0,3472.0,3496.0,3498.0,3509.0,15086,Trazo,183.0,113.0,0.0,2214.0,208.0,51.0,66.0,51.0,2886.0
88,3925.0,3931.0,3974.0,4033.0000000000005,4120.0,4136.0,4234.0,4313.0,4386.0,4423.0,4481.0,15088,Val do Dubra,238.0,201.0,1.0,2678.0,218.0,42.0,64.0,65.0,3507.0
89,6613.0,6594.0,6650.0,6753.0,6796.0,6811.0,6857.0,6926.0,6982.0,6978.0,6986.0,15087,Valdoviño,282.0,198.0,0.0,3896.0,301.0,21.0,53.0,101.0,4852.0
90,5046.0,5051.0,5012.0,5059.0,5073.0,5008.0,5043.0,5046.0,5052.0,5059.0,5063.0,15089,Vedra,395.0,229.0,11.0,3410.0,351.0,110.0,163.0,87.0,4756.0
91,1231.0,1249.0,1260.0,1233.0,1236.0,1247.0,1261.0,1273.0,1277.0,1294.0,1289.0,15091,Vilarmaior,53.0,53.0,1.0,886.0,114.0,1.0,12.0,21.0,1141.0
92,1225.0,1241.0,1275.0,1280.0,1316.0,1362.0,1368.0,1380.0,1406.0,1415.0,1432.0,15090,Vilasantar,119.0,98.0,0.0,871.0,53.0,2.0,9.0,29.0,1181.0
93,7138.0,7270.0,7378.0,7520.0,7710.0,7849.0,7977.0,8039.0,8128.0,8204.0,8300.0,15092,Vimianzo,623.0,410.0,29.0,4581.0,295.0,55.0,129.0,238.0,6360.0
94,4581.0,4671.0,4756.0,4846.0,4902.0,4983.0,5109.0,5219.0,5295.0,5385.0,5459.0,15093,Zas,349.0,212.0,30.0,3240.0,249.0,24.0,54.0,91.0,4249.0
